Area Name,total_poverty_status,Percent_below_poverty_level
ZCTA5 98644,338,22.8
ZCTA5 98645,1193,14.2
ZCTA5 98647,247,37.7
ZCTA5 98648,2770,17.9
ZCTA5 98649,1182,3.4
ZCTA5 98650,871,21.9
ZCTA5 98651,814,3.7
ZCTA5 98660,11401,25.3
ZCTA5 98661,41938,22
ZCTA5 98662,33555,10.8
ZCTA5 98663,13393,13.5
ZCTA5 98664,20888,11.6
ZCTA5 98665,24449,13.6
ZCTA5 98670,91,50.5
ZCTA5 98671,22518,9.7
ZCTA5 98672,5652,10.2
ZCTA5 98673,421,32.5
ZCTA5 98674,11076,17
ZCTA5 98675,7039,10.9
ZCTA5 98682,55933,13
ZCTA5 98683,31716,10.3
ZCTA5 98684,27374,10.7
ZCTA5 98685,26763,7.8
ZCTA5 98686,17932,12.9
ZCTA5 98801,40936,12.6
ZCTA5 98802,28521,13.2
ZCTA5 98811,87,17.2
ZCTA5 98812,4661,26.6
ZCTA5 98813,3182,19.1
ZCTA5 98814,345,10.1
ZCTA5 98815,7249,10.9
ZCTA5 98816,6936,27.8
ZCTA5 98817,429,21.7
ZCTA5 98819,150,22
ZCTA5 98821,327,68.5
ZCTA5 98822,2086,15.5
ZCTA5 98823,10515,18.9
ZCTA5 98824,453,18.3
ZCTA5 98826,6617,18.8
ZCTA5 98827,676,8.7
ZCTA5 98828,2310,12.2
ZCTA5 98829,750,32.5
ZCTA5 98830,507,10.5
ZCTA5 98831,3446,15.7
ZCTA5 98832,160,4.4
ZCTA5 98833,190,0
ZCTA5 98834,200,28.5
ZCTA5 98836,1058,1.7
ZCTA5 98837,40452,16.7
ZCTA5 98840,4277,22.3
ZCTA5 98841,8753,22.5
ZCTA5 98843,1607,14.5
ZCTA5 98844,4473,20.8
ZCTA5 98845,229,30.1
ZCTA5 98846,1114,28.5
ZCTA5 98847,1592,22
ZCTA5 98848,11967,24.1
ZCTA5 98849,1420,13.9
ZCTA5 98850,1543,32.7
ZCTA5 98851,3876,21.4
ZCTA5 98852,7,0
ZCTA5 98853,2,0
ZCTA5 98855,6340,18.5
ZCTA5 98856,2403,19.8
ZCTA5 98857,3983,20.6
ZCTA5 98858,2281,22.2
ZCTA5 98859,164,65.9
ZCTA5 98860,252,20.6
ZCTA5 98862,2144,11.6
ZCTA5 98901,28456,30.5
ZCTA5 98902,45936,23.2
ZCTA5 98903,14991,16.6
ZCTA5 98908,35783,10.3
ZCTA5 98921,1222,91.5
ZCTA5 98922,5720,12.8
ZCTA5 98923,1053,51.4
ZCTA5 98925,578,4
ZCTA5 98926,28260,26.1
ZCTA5 98929,0,-
ZCTA5 98930,16741,26.6
ZCTA5 98932,4938,30.9
ZCTA5 98933,1253,18.7
ZCTA5 98934,994,15.7
ZCTA5 98935,3305,24.5
ZCTA5 98936,5535,10.2
ZCTA5 98937,3814,8.4
ZCTA5 98938,2593,26.7
ZCTA5 98939,93,69.9
ZCTA5 98940,572,5.6
ZCTA5 98941,947,8.9
ZCTA5 98942,16490,11.8
ZCTA5 98943,814,22.1
ZCTA5 98944,22519,26.3
ZCTA5 98946,588,13.8
ZCTA5 98947,3004,15.8
ZCTA5 98948,12880,35.2
ZCTA5 98950,563,2.7
ZCTA5 98951,13627,32.2
ZCTA5 98952,2277,40.4
ZCTA5 98953,6980,15.3
ZCTA5 99001,3602,24.8
ZCTA5 99003,5106,5.8
ZCTA5 99004,16407,28.8
ZCTA5 99005,8257,3.3
ZCTA5 99006,10861,15.5
ZCTA5 99008,594,21
ZCTA5 99009,4036,17.5
ZCTA5 99011,2451,5.3
ZCTA5 99012,1020,8.6
ZCTA5 99013,1811,17.9
ZCTA5 99016,12774,12.3
ZCTA5 99017,191,9.4
ZCTA5 99018,306,6.9
ZCTA5 99019,9591,4.9
ZCTA5 99020,15,0
ZCTA5 99021,8897,7.2
ZCTA5 99022,8436,6.3
ZCTA5 99023,605,8.3
ZCTA5 99025,5027,6
ZCTA5 99026,9888,10.6
ZCTA5 99027,6187,13.1
ZCTA5 99029,1501,10.9
ZCTA5 99030,980,7.3
ZCTA5 99031,914,23.5
ZCTA5 99032,692,17.6
ZCTA5 99033,905,10.5
ZCTA5 99034,131,35.9
ZCTA5 99036,1238,0.9
ZCTA5 99037,12588,11.3
ZCTA5 99039,100,3
ZCTA5 99040,636,23.9
ZCTA5 99101,1645,24.4
ZCTA5 99102,444,10.1
ZCTA5 99103,475,9.9
ZCTA5 99105,50,12
ZCTA5 99109,5094,14.8
ZCTA5 99110,1589,17.8
ZCTA5 99111,4073,15.3
ZCTA5 99113,652,3.8
ZCTA5 99114,11302,19.6
ZCTA5 99115,1309,24.1
ZCTA5 99116,1652,22
ZCTA5 99117,498,10.2
ZCTA5 99118,845,39.6
ZCTA5 99119,944,21.3
ZCTA5 99121,160,21.3
ZCTA5 99122,3389,16.1
ZCTA5 99123,1190,3.2
ZCTA5 99124,313,19.8
ZCTA5 99125,504,6.7
ZCTA5 99126,1050,24.6
ZCTA5 99128,367,5.7
ZCTA5 99129,825,38.4
ZCTA5 99130,714,6.7
ZCTA5 99131,151,20.5
ZCTA5 99133,1530,21.3
ZCTA5 99134,648,6.6
ZCTA5 99135,260,10
ZCTA5 99136,33,18.2
ZCTA5 99137,316,13.6
ZCTA5 99138,1185,27.3
ZCTA5 99139,1424,18.5
ZCTA5 99140,407,35.4
ZCTA5 99141,5254,11.8
ZCTA5 99143,631,18.9
ZCTA5 99144,37,27
ZCTA5 99146,72,43.1
ZCTA5 99147,115,7
ZCTA5 99148,1999,7.5
ZCTA5 99149,173,18.5
ZCTA5 99150,253,28.1
ZCTA5 99151,153,27.5
ZCTA5 99152,195,3.1
ZCTA5 99153,379,15.6
ZCTA5 99154,31,16.1
ZCTA5 99155,1085,44.9
ZCTA5 99156,8137,25.3
ZCTA5 99157,842,33.5
ZCTA5 99158,708,9.9
ZCTA5 99159,1333,7.7
ZCTA5 99160,127,58.3
ZCTA5 99161,1422,16.5
ZCTA5 99163,26084,43.3
ZCTA5 99164,1,100
ZCTA5 99166,3526,15.9
ZCTA5 99167,659,10.6
ZCTA5 99169,2664,15.6
ZCTA5 99170,979,12.1
ZCTA5 99171,979,10.6
ZCTA5 99173,1591,22.6
ZCTA5 99174,61,37.7
ZCTA5 99176,197,11.7
ZCTA5 99179,603,5.5
ZCTA5 99180,1030,13.1
ZCTA5 99181,1772,25.8
ZCTA5 99185,1164,7.6
ZCTA5 99201,13083,40.3
ZCTA5 99202,16748,33.3
ZCTA5 99203,20670,8.3
ZCTA5 99204,6420,23.1
ZCTA5 99205,40859,17.2
ZCTA5 99206,36402,13.2
ZCTA5 99207,30102,24.2
ZCTA5 99208,50032,13
ZCTA5 99212,19044,14.4
ZCTA5 99216,23855,15.4
ZCTA5 99217,18241,17.7
ZCTA5 99218,14340,17.4
ZCTA5 99223,30621,8.4
ZCTA5 99224,19944,14.1
ZCTA5 99301,73424,19.2
ZCTA5 99320,8782,14.9
ZCTA5 99321,661,0
ZCTA5 99322,215,25.6
ZCTA5 99323,3422,8.2
ZCTA5 99324,8325,16.8
ZCTA5 99326,4451,21.7
ZCTA5 99328,3675,18.1
ZCTA5 99329,192,23.4
ZCTA5 99330,806,23.9
ZCTA5 99333,38,0
ZCTA5 99335,245,26.9
ZCTA5 99336,48581,24.2
ZCTA5 99337,29607,7.4
ZCTA5 99338,12914,5.1
ZCTA5 99341,786,16.8
ZCTA5 99343,3115,26.3
ZCTA5 99344,16905,23.6
ZCTA5 99345,192,0
ZCTA5 99346,344,16.3
ZCTA5 99347,2276,11.6
ZCTA5 99348,1675,17.7
ZCTA5 99349,8538,22.3
ZCTA5 99350,14380,15.3
ZCTA5 99352,28210,8
ZCTA5 99353,14077,8.7
ZCTA5 99354,22453,12
ZCTA5 99356,285,39.3
ZCTA5 99357,4001,34.5
ZCTA5 99359,107,18.7
ZCTA5 99360,1345,5.7
ZCTA5 99361,1576,18.6
ZCTA5 99362,37807,17.7
ZCTA5 99363,21,0
ZCTA5 99371,364,16.2
ZCTA5 99401,237,11.4
ZCTA5 99402,1904,18.9
ZCTA5 99403,19543,15
